Soil,Treatment,Yield,TotalN,Nuptake,Nrecovery,TotalP1,Puptake,Precovery,NO3,NH4,PO4,ResinP,WaterSolP,TotalP2,pH,EC,OC
Haverhill,Control1,1.07,25309.78,27081.46,,1649.94,1765.44,,9.91,6.58,6.36,0.036934441,2.7,552,7.72,216,1.39
Haverhill,Control1,0.96,5612.15,5387.66,,1254.04,1203.88,,24.65,10.18,5.23,0.01231148,1.9,450.3,7.83,252,1.89
Haverhill,Control1,1.06,7123.53,7550.94,,1381.91,1464.82,,21.01,10.91,5.68,0.024622961,2.4,536.4,7.8,242,1.72
Haverhill,Control1,1.71,7668.16,13112.55,,1605.54,2745.46,,4.28,8.08,9.78,0.046168052,2.55,504.6,7.95,180,1.69
Haverhill,Control2,2.19,11928.36,26123.11,6.42,1003.13,2196.84,,25.57,13.67,4.56,0.00923361,1.5,461.1,7.83,306,1.32
Haverhill,Control2,3.42,15552.99,53191.21,19.95,971.56,3322.74,,21.42,8.28,6.66,0.010259567,2.65,526.5,7.85,275,1.5
Haverhill,Control2,1.55,9376.41,14533.44,0.63,850.12,1317.68,,24.02,7.62,6.59,0.018467221,2,488.7,7.78,321,1.38
Haverhill,Control2,3.23,20848.95,67342.11,27.03,1026.67,3316.13,,5.57,6.9,8.41,0.055401662,3,481.8,7.86,237,1.61
Haverhill,CanolaMeal50kgha,6.63,7993.97,53000.02,14.92,1334.29,8846.34,25.23,3.16,6.72,8.86,0.075920796,2.75,493.2,7.86,232,1.55
Haverhill,CanolaMeal50kgha,6.55,9791.57,64134.78,19.1,1610.35,10547.79,32.04,2.57,5.5,8.55,0.094388017,2.35,475.5,7.89,216,1.51
Haverhill,CanolaMeal50kgha,5.88,12722.3,74807.12,23.11,1271.7,7477.57,19.76,3.49,9.53,8.53,0.060531446,2.35,450,7.88,211,1.69
Haverhill,CanolaMeal50kgha,3.13,11040.26,34556.01,7.99,937.32,2933.81,1.58,21.33,10.77,4.8,0.018467221,1.8,525.3,7.8,308,1.44
Haverhill,CanolaHull50kgha,7.85,7465.93,58607.51,12.86,1165.77,9151.26,26.45,3.69,9.94,8.35,0.060531446,2.1,467.4,7.86,261,1.91
Haverhill,CanolaHull50kgha,5.61,10268.26,57604.91,12.58,1249.23,7008.15,17.88,4.51,9.94,8.79,0.074894839,2.05,516.3,7.85,283,1.84
Haverhill,CanolaHull50kgha,6.44,8352.96,53793.03,11.49,1213.38,7814.17,21.1,7.58,10.14,9.31,0.052323792,2.2,497.1,7.87,278,1.89
Haverhill,CanolaHull50kgha,6.79,7099.99,48208.9,9.91,1587.35,10778.07,32.96,2.73,6.75,9.88,0.062583359,1.95,479.7,7.88,280,2.13
Haverhill,Manure50kgha,6.14,9337.89,57334.64,20.85,1610.89,9890.83,29.41,2.28,5.98,9.35,0.094388017,2.35,497.7,7.9,208,1.64
Haverhill,Manure50kgha,3.55,13603.45,48292.23,16.57,1343.92,4770.92,8.93,4.06,6.58,10.86,0.159023289,2.8,490.2,7.91,237,1.92
Haverhill,Manure50kgha,7.26,9243.2,67105.6,25.48,1372.28,9962.72,29.7,2.8,5.95,10.4,0.060531446,2.6,533.7,7.91,216,1.71
Haverhill,Manure50kgha,7.24,7251.39,52500.06,18.56,1320.38,9559.55,28.08,4.74,7.8,10.09,0.091310147,2.45,521.7,7.9,225,1.76
Haverhill,Willow50kgha,8.25,6683.22,55136.57,10.31,1786.37,14737.51,48.8,4.6,9.17,9.06,0.09336206,2.65,484.8,7.93,209,2.87
Haverhill,Willow50kgha,8.36,7247.11,60585.84,11.65,1571.83,13140.5,42.41,3.34,7.66,10.23,0.108751411,2.9,501.9,7.9,223,3.4
Haverhill,Willow50kgha,8.1,8130.93,65860.53,12.95,1836.12,14872.57,49.34,3.8,7.26,11.13,0.17749051,3,444.6,7.93,202,2.23
Haverhill,Willow50kgha,8,6703.55,53628.4,9.94,1733.94,13871.48,45.33,3.56,7.46,8.48,0.051297835,2.15,600.6,7.94,200,2.02
Haverhill,CanolaMeal10tha,9.78,5610.01,54865.9,6.88,1216.06,11893.02,6.15,7.27,8.45,9.41,0.063609316,3,498.9,7.93,218,1.95
Haverhill,CanolaMeal10tha,7.71,8371.68,64545.65,8.49,2023.91,15604.31,8.6,3.82,12.99,9.29,0.113881194,2.45,522.9,7.96,201,1.97
Haverhill,CanolaMeal10tha,8.35,7072.17,59052.58,7.58,1720.03,14362.21,7.78,5.42,9.77,8.84,0.063609316,2.05,516.9,7.96,196,1.77
Haverhill,CanolaMeal10tha,8.84,6627.58,58587.81,7.5,1529.57,13521.35,7.23,9.29,9.22,10.07,0.10259567,2.7,525.3,7.94,225,1.96
Haverhill,CanolaHull10tha,6.92,6712.65,46451.5,9.03,1351.41,9351.76,24.78,2.97,10.07,11.08,0.059505489,2.25,485.1,7.9,309,1.84
Haverhill,CanolaHull10tha,7.45,7702.93,57386.83,12,1388.86,10347.01,28.4,5.67,9.02,8.08,0.036934441,2.05,490.5,7.94,282,1.84
Haverhill,CanolaHull10tha,8.31,7529.06,62566.45,13.41,1341.78,11150.19,31.32,4.98,11.84,9.59,0.085154406,2.15,479.4,7.99,235,1.74
Haverhill,CanolaHull10tha,8.89,6983.89,62086.78,13.28,1393.68,12389.77,35.82,5.77,13.32,9.24,0.083102493,1.85,504.3,7.96,286,1.85
Haverhill,Manure10tha,8.94,6567.13,58710.1,18.24,1989.67,17787.61,14.05,2.73,12.09,13.38,0.249307479,3.95,541.8,7.99,247,1.85
Haverhill,Manure10tha,7.17,8299.46,59507.09,18.56,2013.74,14438.52,10.97,2.42,11.59,17.73,0.153893506,4.7,516.3,8.03,243,1.89
Haverhill,Manure10tha,9.12,5958.3,54339.65,16.49,2095.6,19111.83,15.28,2.51,10.54,10.19,0.199035601,3.65,499.2,8.03,234,1.81
Haverhill,Manure10tha,8.44,6143.94,51854.85,15.49,2044.77,17257.86,13.57,5.62,8.56,15.3,0.200061557,3.65,531,8.04,247,2.21
Haverhill,Willow10tha,7.56,6508.28,49202.56,13.3,1134.2,8574.55,71.01,4.21,9.91,6.24,0.057453575,1.8,495.9,8.05,189,1.72
Haverhill,Willow10tha,7.51,7042.21,52886.96,14.67,1393.68,10466.5,93.27,6.15,11.43,7.97,0.042064225,2,496.2,8.04,203,1.82
Haverhill,Willow10tha,7.12,6605.11,47028.38,12.5,1432.2,10197.23,90.1,7.88,11.62,9.6,0.09028419,2.35,468.6,8.02,216,1.74
Haverhill,Willow10tha,7.15,7458.44,53327.81,14.83,1739.29,12435.89,116.44,8.01,14.14,7.36,0.064635272,2.15,487.2,8.04,210,2.14
Haverhill,CanolaMeal10thaTSP,7.52,7491.61,56336.87,7.13,2382.36,17915.31,8.69,8.68,7.75,10.72,0.266748743,3.15,555,8.03,213,2.1
Haverhill,CanolaMeal10thaTSP,10.75,6234.89,67025.07,8.9,2017.49,21687.96,10.82,3.39,8.87,13.02,0.09643993,3.85,518.7,8.02,209,1.78
Haverhill,CanolaMeal10thaTSP,10.69,6105.42,65266.94,8.61,1905.67,20371.61,10.08,6.21,9.29,11.6,0.132348415,3.65,563.7,8.01,237,2.11
Haverhill,CanolaMeal10thaTSP,10.81,6500.79,70273.49,9.44,2044.77,22103.96,11.05,5.16,9.83,13.64,0.260593003,3.5,647.7,8.05,217,2.09
Haverhill,CanolaHull10thaTSP,8.99,4613.84,41478.42,7.67,1586.28,14260.61,22.33,11.3,9.36,9.81,0.048219965,2.55,503.7,8,272,2.07
Haverhill,CanolaHull10thaTSP,9.69,6187.81,59959.88,12.7,2056.01,19922.69,33.11,2.82,8.36,13.04,0.113881194,4.15,488.1,7.96,285,1.93
Haverhill,CanolaHull10thaTSP,8.84,6793.97,60058.65,12.73,2197.78,19428.38,32.17,3.47,8.48,12.89,0.078998666,4.7,468.3,7.98,312,2.01
Haverhill,CanolaHull10thaTSP,9.5,6633.47,63017.92,13.53,2018.02,19171.19,31.68,2.98,7.39,11.4,0.154919462,2.95,474,7.91,321,2
Haverhill,Manure10thaTSP,8.89,5721.29,50862.27,15.09,1976.29,17569.22,11.26,5.72,7.58,23.22,0.543757053,8,562.5,8.07,232,2
Haverhill,Manure10thaTSP,9.83,4977.64,48930.2,14.32,1814.19,17833.44,11.46,6.63,7.91,13.37,0.296501488,4.4,524.4,8.06,245,1.92
Haverhill,Manure10thaTSP,9.9,6474.57,64098.24,20.41,2272.68,22499.53,14.95,4.02,9.51,26.68,0.475017954,8.4,636.6,8.09,236,2.01
Haverhill,Manure10thaTSP,9.31,6250.94,58196.25,18.04,2271.08,21143.71,13.94,5.66,8.7,19.48,0.491433262,5.55,606.3,8.06,236,1.98
Haverhill,Willow10thaTSP,10.13,7238.02,73321.09,22.24,1978.43,20041.5,52.25,2.14,8.07,10.36,0.121062891,3.1,505.2,8.03,202,2.13
Haverhill,Willow10thaTSP,6.82,9131.92,62279.66,18.15,2072.59,14135.06,34.62,2.79,8.9,15.32,0.199035601,5.55,536.7,8.02,237,2.01
Haverhill,Willow10thaTSP,7.5,8162.5,61218.71,17.75,1976.83,14826.19,36.68,3.14,9.26,12.51,0.123114805,4.05,529.5,8.06,198,2.3
Haverhill,Willow10thaTSP,11.16,6245.06,69694.81,20.89,1753.2,19565.66,50.83,4.54,10.44,11.47,0.185698164,3.5,499.2,8.07,203,2.12
Haverhill,TripleSuperPhosphate,6.02,7384.07,44452.1,15.58,2159.8,13001.97,41.85,2.37,7.32,14.59,0.139530112,3.65,501.9,8.08,201,1.85
Haverhill,TripleSuperPhosphate,9.86,5832.04,57503.87,22.11,1823.28,17977.54,61.76,3.87,8.1,11.83,0.070791013,3,496.2,8.1,193,1.92
Haverhill,TripleSuperPhosphate,8.63,6809.48,58765.81,22.74,1882.67,16247.4,54.84,2.94,9.09,11.21,0.09028419,3.35,528.6,8.06,215,1.86
Haverhill,TripleSuperPhosphate,10.51,5490.71,57707.31,22.21,1751.59,18409.21,63.48,5.61,7.82,13.04,0.068739099,3.3,482.4,8.06,220,1.88
Oxbow,Control1,1.49,5581.12,8315.87,,1044.86,1556.83,,10.66,10.18,1.95,0.069765056,2.1,544.5,8.08,201,2.67
Oxbow,Control1,0.94,4332.43,4072.48,,764.52,718.64,,22.44,9.98,2.03,0.061557402,1.95,524.1,7.99,232,3.06
Oxbow,Control1,1.6,6247.2,9995.51,,911.11,1457.77,,8.43,9.83,2.22,0.076946753,2.15,537.3,8.01,201,2.79
Oxbow,Control1,1.2,6975.33,8370.4,,1104.24,1325.09,,17.93,11.91,3.14,0.095413974,2.45,524.1,7.95,243,2.78
Oxbow,Control2,2,30325.94,60651.88,26.48,1395.28,2790.56,,5.13,14.41,2.99,0.095413974,3.1,524.4,7.98,208,2.8
Oxbow,Control2,3.01,25604.57,77069.74,34.69,1054.49,3174,,11.64,12.47,2.56,0.076946753,2.55,555.9,7.97,233,2.77
Oxbow,Control2,2.3,19668.74,45238.1,18.77,910.04,2093.08,,20.47,11.36,2.26,0.036934441,1.8,578.1,7.95,265,2.85
Oxbow,Control2,3.17,24111.38,76433.07,34.37,1013.29,3212.13,,9.73,23.39,2.91,0.075920796,2.65,517.5,7.97,235,2.91
Oxbow,CanolaMeal50kgha,1.98,12447.85,24646.73,6.37,944.28,1869.66,-3.79,11.35,12.69,2.73,0.086180363,2.5,541.8,7.94,245,2.85
Oxbow,CanolaMeal50kgha,3.91,18718.58,73189.65,24.6,965.14,3773.7,3.83,11.11,15.22,2.36,0.107725454,2.2,546,7.98,221,2.66
Oxbow,CanolaMeal50kgha,1.76,19516.27,34348.63,10.01,1113.87,1960.41,-3.43,10.51,9.77,2.49,0.123114805,2.1,555.3,8.01,211,2.92
Oxbow,CanolaMeal50kgha,3.54,25518.43,90335.24,31.04,1162.56,4115.44,5.19,9.78,9.87,2.42,0.080024623,2.65,500.7,7.96,246,2.87
Oxbow,CanolaHull50kgha,8.19,8021.79,65698.46,16.46,1170.05,9582.67,27.06,3.77,15.17,2.67,0.08720632,2.95,537.3,7.89,299,3.21
Oxbow,CanolaHull50kgha,3.69,11782.84,43478.68,10.16,722.79,2667.08,-0.6,28.59,13.72,2.59,0.025648918,1.85,599.1,7.86,412,3.13
Oxbow,CanolaHull50kgha,3.1,25245.05,78259.64,20.02,991.89,3074.86,1.03,8.94,21.25,3.39,0.111829281,2.95,509.4,7.91,352,3.27
Oxbow,CanolaHull50kgha,4.24,13526.94,57354.23,14.09,996.71,4226.03,5.63,6.05,15.57,2.89,0.142607982,2.7,524.4,7.96,287,3.43
Oxbow,Manure50kgha,5.39,14816.83,79862.69,34.16,1151.32,6205.61,13.55,5.4,19.82,2.4,0.107725454,2.95,516.9,7.99,216,2.99
Oxbow,Manure50kgha,5.83,17152.64,99999.86,43.69,1263.67,7367.2,18.2,5.1,22.53,2.79,0.113881194,2.9,526.2,7.97,230,3.04
Oxbow,Manure50kgha,6.88,12785.43,87963.76,38,1632.29,11230.12,33.65,4.03,15.85,2.2,0.137478198,2.65,538.8,7.95,220,2.91
Oxbow,Manure50kgha,8.92,7623.75,68003.85,28.55,1164.16,10384.31,30.27,8,27.09,2.69,0.130296501,3.1,548.4,7.99,216,3.03
Oxbow,Willow50kgha,9.83,7878.41,77444.77,17.18,1666.53,16381.94,54.26,3.8,10.04,3.32,0.130296501,3.6,533.7,7.93,253,4.59
Oxbow,Willow50kgha,10.12,7112.83,71981.79,15.84,1569.16,15879.85,52.25,3.19,19.66,2.84,0.08720632,2.65,525.6,8,219,3.64
Oxbow,Willow50kgha,10.21,7416.17,75719.1,16.76,1413.47,14431.53,46.46,4.45,16.85,2.52,0.068739099,2.85,618.3,7.98,239,3.66
Oxbow,Willow50kgha,7.69,7709.35,59284.9,12.71,1194.66,9186.9,25.48,3.46,13.12,2.51,0.120036934,3,537.6,7.94,229,3.42
Oxbow,CanolaMeal10tha,10.3,8146.98,83913.89,12.62,1571.83,16189.85,8.8,3.43,12.58,2.78,0.111829281,3.1,613.8,7.91,218,2.85
Oxbow,CanolaMeal10tha,9.86,7861.29,77512.32,11.56,1342.32,13235.23,6.85,3.29,12.98,2.79,0.083102493,3.6,650.1,7.9,239,3.01
Oxbow,CanolaMeal10tha,8.51,9219.12,78454.71,11.72,1739.82,14805.87,7.89,2.79,9.49,2.6,0.115933108,3,604.2,7.93,211,2.93
Oxbow,CanolaMeal10tha,6.53,6728.7,43938.38,6,1600.19,10449.21,5.02,2.95,10.59,2.56,0.110803324,2.7,591.3,7.96,224,2.61
Oxbow,CanolaHull10tha,4.12,9878.24,40698.35,8.98,908.97,3744.94,3.37,22.84,10.14,4.11,0.094388017,3.1,524.1,7.93,325,2.65
Oxbow,CanolaHull10tha,4.78,17168.15,82063.76,20.24,1863.94,8909.63,22.15,4.2,13.25,3.43,0.095413974,2.85,514.5,7.94,319,2.88
Oxbow,CanolaHull10tha,4.74,14213.35,67371.26,16.24,1167.37,5533.33,9.88,5.79,18,3.24,0.100543757,3.15,505.2,7.96,344,2.97
Oxbow,CanolaHull10tha,3.75,17628.25,66105.94,15.9,1028.81,3858.02,3.78,5.16,9.69,2.89,0.100543757,2.7,510.9,7.98,263,2.69
Oxbow,Manure10tha,9.9,7169,70973.1,25.42,1820.61,18023.99,14.02,3.27,16.04,3.43,0.150815636,3.4,523.2,8,238,2.59
Oxbow,Manure10tha,9.46,7654.25,72409.16,25.99,1880.53,17789.77,13.8,3.48,10.78,5.22,0.172360726,4,538.8,7.96,264,2.62
Oxbow,Manure10tha,9.35,5958.3,55710.06,19.29,1899.25,17757.99,13.77,3.26,10.62,3.7,0.141582025,3.3,519,7.97,294,2.48
Oxbow,Manure10tha,10.22,6076.53,62102.14,21.85,1859.13,19000.26,14.92,4.8,11.34,7.28,0.221606648,4.9,591.3,7.99,245,2.62
Oxbow,Willow10tha,8.5,6413.58,54515.43,17.34,977.98,8312.83,64.65,9.39,20.26,2.21,0.124140761,2.65,499.5,7.64,230,2.58
Oxbow,Willow10tha,4.4,10356.53,45568.73,14.03,946.42,4164.23,15.84,13.31,12.5,2.95,0.088232277,2.65,474.9,7.6,282,2.82
Oxbow,Willow10tha,5.25,13668.18,71757.95,23.73,1205.36,6328.11,41.3,12.31,12.75,2.35,0.069765056,1.95,538.2,7.68,249,2.93
Oxbow,Willow10tha,3.45,14403.81,49693.13,15.56,805.18,2777.85,-0.47,23.48,12.57,2.13,0.053349749,2.05,534.3,7.7,300,2.59
Oxbow,CanolaMeal10thaTSP,12.7,6919.16,87873.27,13.28,1943.12,24677.62,12.35,3.49,2.37,2.82,0.169282856,3.95,579.3,7.72,236,2.67
Oxbow,CanolaMeal10thaTSP,12.03,6908.99,83115.15,12.49,1885.34,22680.64,11.22,3.1,2.69,2.96,0.179542423,4.05,624.3,7.71,215,2.65
Oxbow,CanolaMeal10thaTSP,9.09,7177.56,65244.02,9.53,2255.03,20498.18,9.99,7.38,2.99,3.36,0.173386683,3.55,568.2,7.74,210,2.62
Oxbow,CanolaMeal10thaTSP,9.78,7989.69,78139.17,11.66,1951.15,19082.2,9.19,4.92,3.06,5.93,0.26161896,5.85,676.2,7.72,232,3.24
Oxbow,CanolaHull10thaTSP,8.46,8219.74,69539,16.83,1988.6,16823.51,26.68,5.65,4.55,5.6,0.170308813,4.15,533.7,7.71,358,2.6
Oxbow,CanolaHull10thaTSP,7.71,7097.31,54720.26,12.8,1923.33,14828.84,22.88,4.17,4.18,5.53,0.187750077,5.45,572.7,7.71,366,2.7
Oxbow,CanolaHull10thaTSP,10.45,6100.07,63745.73,15.25,1687.39,17633.23,28.22,6.21,3.93,4.2,0.130296501,3.4,477,7.71,331,2.54
Oxbow,CanolaHull10thaTSP,10.05,6139.13,61698.21,14.7,1720.03,17286.25,27.56,3.7,3.37,4.21,0.181594337,4.8,546.9,7.71,283,2.75
Oxbow,Manure10thaTSP,10.56,6577.29,69456.18,24.81,2100.95,22185.98,14.51,3.67,3.14,9.76,0.372422284,7.8,555.3,7.8,262,2.49
Oxbow,Manure10thaTSP,12.7,6669.85,84707.03,30.93,2196.18,27891.42,18.78,4.33,4.28,11.74,0.53862727,8.8,572.4,7.79,243,2.6
Oxbow,Manure10thaTSP,12.71,6127.36,77878.68,28.19,2128.23,27049.8,18.15,4.17,4.18,9.48,0.252385349,6.85,579.9,7.8,220,2.8
Oxbow,Manure10thaTSP,14.47,5372.47,77739.64,28.13,2020.16,29231.72,19.79,6.7,3.52,5.26,0.284190007,4.2,614.7,7.81,238,2.45
Oxbow,Willow10thaTSP,12.91,5993.07,77370.53,25.81,1335.9,17246.4,43.07,4.77,3.68,2.13,0.136452242,2.9,514.8,7.82,210,2.99
Oxbow,Willow10thaTSP,12.48,5768.37,71989.26,23.82,1652.08,20617.96,53.14,3.66,3.4,2.34,0.103621627,3.05,524.1,7.82,207,2.76
Oxbow,Willow10thaTSP,11.15,6849.07,76367.13,25.44,1665.46,18569.82,47.02,2.94,3.53,2.75,0.176464553,3.55,531.6,7.81,207,2.82
Oxbow,Willow10thaTSP,10.33,7307.57,75487.15,25.11,1805.09,18646.58,47.25,3.94,3.77,3.19,0.148763722,3.75,564.6,7.81,222,2.7
Oxbow,TripleSuperPhosphate,8.39,9117.47,76495.57,34.4,1850.03,15521.75,50.82,8.07,4.35,3.07,0.163127116,3.15,496.5,7.83,207,2.49
Oxbow,TripleSuperPhosphate,8.28,7984.88,66114.77,29.21,1632.29,13515.32,42.79,3.35,4.33,3.47,0.172360726,3.8,550.5,7.81,241,2.49
Oxbow,TripleSuperPhosphate,9.58,6927.72,66367.51,29.34,1419.36,13597.42,43.12,5.17,4.65,3.51,0.156971376,3.2,540,7.83,224,2.57
Oxbow,TripleSuperPhosphate,11.62,6433.38,74755.82,33.53,1407.05,16349.92,54.13,9.18,5.11,2.47,0.176464553,2.95,554.1,7.86,212,2.43
,,,,,,,,,,,,0,,,,,
